title,link
现金缴款单,https://finance.ustc.edu.cn/_upload/article/files/aa/8f/c805846a42ef8185089830e98035/3c49140f-9c02-4176-ae7c-b1bf0207afb7.pdf
内部结算转账单,https://finance.ustc.edu.cn/_upload/article/files/84/f5/07176e5444b5905739bdd767f252/aefdc120-649d-4800-b396-aa846a14ce6f.pdf
财务报销票据粘贴单,https://finance.ustc.edu.cn/_upload/article/files/a4/0f/a7eb4192459fbe57274f2e29ca11/603382ba-5402-4acc-a784-9819b69840e1.doc
材料出入库单,https://finance.ustc.edu.cn/_upload/article/files/b0/e0/05d7c3194460832c4fb9076a9d22/ef510693-f14a-4266-b36b-c187b27dcf88.doc
国内公务接待费自查自纠表,https://finance.ustc.edu.cn/_upload/article/files/ac/59/f2884bec41388ad332b29fb4b8f1/c8fe5a5f-1d86-4b9e-af3f-bd711b596614.xls
工作餐自查自纠表,https://finance.ustc.edu.cn/_upload/article/files/31/e5/fc984dd344c6ba2d4eddb5b19b0a/d7cbdf69-0280-4bb7-8b5d-c7a49d604f3d.xls
商场购物自查自纠表,https://finance.ustc.edu.cn/_upload/article/files/3f/2c/6d298dfc4621a6d7edaf39f0315f/d1cfc8e6-923f-48bc-a79b-5ed3e973e7da.xls
预算单位公务卡办卡清单,https://finance.ustc.edu.cn/_upload/article/files/54/dd/5eb64cab4f7d9a90c58d0813a796/db240287-15ed-4515-87ed-7bcd8b40709e.xls
科研项目聘用人员办理公务卡审批表,https://finance.ustc.edu.cn/_upload/article/files/48/59/d64ec3ee44e38aef86eb4713791a/47c549c6-71e8-4fcf-824b-67ba8fcdcb06.xls
乘坐非国内航空公司航班和改变中转地审批表,https://finance.ustc.edu.cn/_upload/article/files/d2/4f/4f4d77cd48948ae56e3302310e16/798a1409-6bbb-4113-803f-1e3a7ecba63c.xls
中国科学技术大学校内预算调整项目申报书,https://finance.ustc.edu.cn/2020/0730/c21818a441241/page.htm
科研项目预算调整审批表,https://finance.ustc.edu.cn/2020/0730/c21818a441240/page.htm
科研项目财务委托书,https://finance.ustc.edu.cn/_upload/article/files/d7/d9/475cf5604a82941b0b489735d957/9b1e17e7-0218-4ce3-b8f9-9150a4ca1c8b.doc
中国科学技术大学2015年度预算项目执行与绩效情况说明书,https://finance.ustc.edu.cn/_upload/article/files/c0/42/634fda404ee7a0b2124989bbae53/3798a52a-a6ae-4c1e-87a1-b162781f2e86.doc
关于启用不等候报账系统的通知,https://finance.ustc.edu.cn/_upload/article/files/a0/de/a61e3d744bf7b1517e0a063d57fd/63a8e725-2a26-4223-8d7b-5faa5ac16663.doc
财务审批签字手迹备案表,https://finance.ustc.edu.cn/_upload/article/files/8c/b6/dfa382ab42799a9d902c05bede10/584c4b8d-e5b7-410e-97fb-da80d66d962c.doc
关于办理财务审批签字手迹备案的通知(2014-10-15）,https://finance.ustc.edu.cn/_upload/article/files/f7/50/e4a153c54681a60f129a255dbe0a/65564ba4-8531-4dee-9717-de62c0c82f03.doc
在职人员加班及课时劳务酬金发放操作流程和要求,https://finance.ustc.edu.cn/_upload/article/files/52/fb/af8fc5774664ae7fcdeee778b331/a477cf9c-40ca-4291-a173-df4077666c74.doc
2016年“六项费用”来源分解表,https://finance.ustc.edu.cn/_upload/article/files/80/4c/398396494e6d94929a9ad9026ded/c9465c83-7612-4203-938c-2910f65c5a6b.doc
卡点结账汇总审批表,https://finance.ustc.edu.cn/_upload/article/files/96/19/31b8fe6d45bd82eacfca08e61e6e/ffea14ed-ab61-4de6-b444-ab68ab1cec20.xls
个人所得税纳税申报表及填表说明,https://finance.ustc.edu.cn/_upload/article/files/53/21/7aecbe9945a2b8f98d0c617834f7/e8f6456d-8c30-4ba8-a206-6fcee1bbc66f.doc
“六项费用”支出计划表,https://finance.ustc.edu.cn/_upload/article/files/7c/5d/36f0659d4299a0f14f9b93dda13e/1609aa6b-ebfa-4e2c-84eb-9b81d6fea79a.xls
会计档案查询申请表,https://finance.ustc.edu.cn/_upload/article/files/4b/e3/bb3451824249ad3b0f118b104447/38344b04-dd12-4c57-bfcf-6e84632c397d.xls
中国科学技术大学卡点业务范围申报清单表,https://finance.ustc.edu.cn/_upload/article/files/88/f2/3381d6cd4c798e99090966cff952/104a548a-6ce1-4e7e-b10d-a11a1c82ca16.xls
中国科学技术大学临时应急项目立项及经费预算申报书,https://finance.ustc.edu.cn/_upload/article/files/aa/f9/7df89f954084b225ba1430b2c3f9/5fd6543a-45c2-41e7-a50e-9fde11391e84.xls
学院上交学校科研成本汇总表（学院填写）,https://finance.ustc.edu.cn/_upload/article/files/05/48/f3ce389347cb8862f3fe914f7425/601cac48-1caa-40ce-b795-cfac0cabd062.xls
中国科学技术大学预拨经费申请表,https://finance.ustc.edu.cn/_upload/article/files/1f/20/512014974a2591006998809f21ca/2700e16d-99d8-405e-914d-200f59336f8d.xls
预算执行计划表,https://finance.ustc.edu.cn/_upload/article/files/e8/ae/f00d25474a08a58e037ab34755d5/dfc7f487-02ea-4201-a81e-8eaee790db1a.xls
公用房使用费分解明细表,https://finance.ustc.edu.cn/_upload/article/files/b6/da/029a93f644d6847f1f92e3928050/1117eea1-bf17-4a03-8900-d6650142bd23.xls
